seed,player1_agent,player2_agent,matchup,depth,heuristic,minimax_alpha_beta,p1_depth,p2_depth,p1_heuristic,p2_heuristic,p1_alpha_beta,p2_alpha_beta,winner,p1_won,p2_won,plies,avg_move_time,p1_avg_move_time,p2_avg_move_time,p1_nodes_per_move,p2_nodes_per_move
5000,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.018667555297724903,0.01956379145849496,0.016875082976184785,109.0,501.0
5001,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.0255644996650517,0.03395966597599909,0.008774167043156922,254.5,90.0
5002,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,2,0,1,6,0.026804166690756876,0.03326287535795321,0.020345458023560543,217.0,202.33333333333334
5003,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.060016458349612854,0.04462364548817277,0.09080208407249302,123.0,279.0
5004,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.016039514332078397,0.018042667012196034,0.012033208971843123,141.5,113.0
5005,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,2,0,1,6,0.027491090528201312,0.035175667027942836,0.019806514028459787,217.0,205.33333333333334
5006,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,5,0.02601369156036526,0.023543597276632983,0.029718832985963672,91.66666666666667,318.0
5007,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.015215625326770047,0.016510645975358784,0.012625584029592574,156.5,157.0
5008,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,5,0.013860433781519532,0.014482236661327383,0.012927729461807758,92.33333333333333,176.5
5009,Minimax,Minimax,Minimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,True,1,1,0,3,0.03195815265644342,0.03545487497467548,0.024964708019979298,241.0,187.0
5000,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,5,0.02712078341282904,0.02350490268630286,0.03254460450261831,1075.3333333333333,501.5
5001,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,5,0.026186749781481923,0.03255212497121344,0.016638686996884644,1384.6666666666667,265.5
5002,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,2,0,1,6,0.024175840332948912,0.03240048602068176,0.015951194645216066,1443.0,109.0
5003,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,3,0.02392997231800109,0.021324103989172727,0.02914170897565782,892.0,279.0
5004,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,3,0.014501750352792442,0.01592252100817859,0.011660209042020142,697.5,113.0
5005,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,2,0,1,6,0.025314104491068672,0.03435765334870666,0.01627055563343068,1443.0,101.66666666666667
5006,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,7,0.017447666714100966,0.016822114528622478,0.01828173629473895,719.5,164.66666666666666
5007,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,3,0.016404264024458826,0.01791314606089145,0.013386499951593578,697.5,157.0
5008,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,1,1,0,5,0.016089949593879282,0.016814374636548262,0.015003312029875815,679.0,228.0
5009,Expectimax,Minimax,Expectimax vs Minimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,True,2,0,1,6,0.026684979170871276,0.03449183364864439,0.01887812469309817,1423.6666666666667,140.66666666666666
5000,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,5,0.014476324967108666,0.017314819308618706,0.01021858345484361,89.0,435.5
5001,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,3,0.026924388638387125,0.03601708298083395,0.008738999953493476,254.5,372.0
5002,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,2,0,1,6,0.0286759235120068,0.036147291345211364,0.021204555678802233,197.0,926.6666666666666
5003,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,5,0.017288792016915976,0.01808325034411003,0.016097104526124895,104.66666666666667,696.0
5004,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,3,0.015033722661125163,0.015790229488629848,0.013520709006115794,141.5,552.0
5005,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,2,0,1,6,0.05744699984400844,0.08994251369343449,0.024951485994582374,231.66666666666666,893.6666666666666
5006,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,2,0,1,6,0.0267498609997953,0.028606917010620236,0.024892804988970358,151.66666666666666,996.6666666666666
5007,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,3,0.016381278013189633,0.017657875025179237,0.013828083989210427,156.5,552.0
5008,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,5,0.014919166592881084,0.01580709731206298,0.01358727051410824,92.33333333333333,555.5
5009,Minimax,Expectimax,Minimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,True,,1,1,0,5,0.022473474964499474,0.027474222277912002,0.014972353994380683,182.66666666666666,606.0
5000,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,2,0,1,6,0.024236111319623888,0.026772555662319064,0.02169966697692871,1107.6666666666667,904.3333333333334
5001,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.02727213320322335,0.03445170800356815,0.01650277100270614,1384.6666666666667,679.0
5002,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.033601150405593215,0.03851120864662031,0.02623606304405257,1591.3333333333333,1128.5
5003,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.018597100209444762,0.02017081967399766,0.016236521012615412,806.6666666666666,696.0
5004,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,3,0.015569764034201702,0.01676158350892365,0.013186125084757805,697.5,552.0
5005,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.03487360840663314,0.039705000002868474,0.027626521012280136,1591.3333333333333,1128.5
5006,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.026623016805388033,0.02441619468542437,0.029933249985333532,1020.3333333333334,1248.5
5007,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,3,0.01652265266360094,0.018181520514190197,0.01320491696242243,697.5,552.0
5008,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,1,1,0,5,0.016099883383139967,0.016671874987271924,0.015241895976942033,679.0,619.0
5009,Expectimax,Expectimax,Expectimax vs Expectimax,2,solo_mov_diff,True,2,2,solo_mov_diff,solo_mov_diff,,,2,0,1,6,0.031278916634619236,0.03672577797745665,0.025832055291781824,1521.6666666666667,948.3333333333334
5000,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,3,0.013939027635691067,0.020892333472147584,3.2415962778031826e-05,113.5,
5001,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,7,0.011392803846060165,0.01992503149085678,1.6500319664676983e-05,147.0,
5002,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,7,0.015828779848691608,0.027676072990288958,3.238899322847525e-05,157.75,
5003,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,5,0.009111591591499745,0.015157708354915181,4.241644637659192e-05,106.66666666666667,
5004,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,7,0.00407021416218153,0.007109635276719928,1.7652676130334537e-05,80.75,
5005,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,5,0.019776533194817602,0.03292876365594566,4.818750312551856e-05,137.0,
5006,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,5,0.04160340039525181,0.06928130600135773,8.654198609292507e-05,92.66666666666667,
5007,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,5,0.009824683191254735,0.016361652640625834,1.9229017198085785e-05,116.66666666666667,
5008,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,7,0.007865565163748605,0.013748062279773876,2.223567571491003e-05,87.5,
5009,Minimax,Random,Minimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,True,,1,1,0,5,0.018298733397386968,0.030478333705104887,2.933293581008911e-05,182.33333333333334,
5000,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,4,0.012374729267321527,4.6062516048550606e-05,0.024703396018594503,,142.0
5001,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.00829347917654862,5.179170208672682e-05,0.016535166651010513,,111.66666666666667
5002,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.011904819499856481,5.018066925307115e-05,0.023759458330459893,,155.0
5003,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,4,0.011434041778557003,4.9812544602900743e-05,0.022818271012511104,,145.5
5004,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.003225340372106681,2.8194355157514412e-05,0.006422486389055848,,62.0
5005,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.0031816111295484006,2.713893384983142e-05,0.00633608332524697,,67.66666666666667
5006,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.00896111101610586,3.07360120738546e-05,0.017891486020137865,,110.33333333333333
5007,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.005277916672639549,3.6278002274533115e-05,0.010519555343004564,,139.0
5008,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,6,0.009692632166358331,4.180602263659239e-05,0.01934345831008007,,147.33333333333334
5009,Random,Minimax,Random vs Minimax,2,solo_mov_diff,True,,2,,solo_mov_diff,,True,2,0,1,4,0.006154187518404797,3.612448927015066e-05,0.012272250547539443,,120.5
5000,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.012397391814738512,0.020638139025929075,3.627099795266986e-05,864.3333333333334,
5001,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.021235941420309247,0.03537538868840784,2.677051816135645e-05,1378.3333333333333,
5002,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.022527974960394204,0.037519027944654226,4.13954840041697e-05,1601.0,
5003,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.009822108200751245,0.01635423566525181,2.3917004000395536e-05,679.3333333333334,
5004,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,7,0.004211624851450324,0.007359468727372587,1.4499683553973833e-05,307.75,
5005,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.018958125193603338,0.031573486320363976,3.508350346237421e-05,1310.6666666666667,
5006,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.014750733622349799,0.024558111365574103,3.966700751334429e-05,1010.0,
5007,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,7,0.0057578571307073745,0.010055114486021921,2.818065695464611e-05,394.0,
5008,Expectimax,Random,Expectimax vs Random,2,solo_mov_diff,True,2,,solo_mov_diff,,,,1,1,0,5,0.010547733423300088,0.017560666349406045,2.8334034141153097e-05,751.6666666666666,
