experiment,depth,variant,position,nodes,time_s,matchup,agent,opponent,seed,a_player,winner,a_won,plies,avg_move_time,a_nodes_per_move
E1,1.0,minimax,0.0,46.0,0.0010228329920209944,,,,,,,,,,
E1,1.0,alpha-beta,0.0,46.0,0.0015431249921675771,,,,,,,,,,
E1,1.0,minimax,1.0,36.0,0.0008956670062616467,,,,,,,,,,
E1,1.0,alpha-beta,1.0,36.0,0.0014214999973773956,,,,,,,,,,
E1,1.0,minimax,2.0,11.0,0.0002647500077728182,,,,,,,,,,
E1,1.0,alpha-beta,2.0,11.0,0.000369541987311095,,,,,,,,,,
E1,1.0,minimax,3.0,28.0,0.0006985000218264759,,,,,,,,,,
E1,1.0,alpha-beta,3.0,28.0,0.001157165999757126,,,,,,,,,,
E1,1.0,minimax,4.0,15.0,0.0003553749993443489,,,,,,,,,,
E1,1.0,alpha-beta,4.0,15.0,0.0005677079898305237,,,,,,,,,,
E1,1.0,minimax,5.0,11.0,0.00029070800519548357,,,,,,,,,,
E1,1.0,alpha-beta,5.0,11.0,0.00039300002390518785,,,,,,,,,,
E1,2.0,minimax,0.0,1222.0,0.029789332998916507,,,,,,,,,,
E1,2.0,alpha-beta,0.0,205.0,0.03046904201619327,,,,,,,,,,
E1,2.0,minimax,1.0,666.0,0.015370375011116266,,,,,,,,,,
E1,2.0,alpha-beta,1.0,99.0,0.017082624981412664,,,,,,,,,,
E1,2.0,minimax,2.0,47.0,0.0008837089990265667,,,,,,,,,,
E1,2.0,alpha-beta,2.0,22.0,0.0012096250138711184,,,,,,,,,,
E1,2.0,minimax,3.0,476.0,0.01125012498232536,,,,,,,,,,
E1,2.0,alpha-beta,3.0,114.0,0.012522000004537404,,,,,,,,,,
E1,2.0,minimax,4.0,135.0,0.0033868339960463345,,,,,,,,,,
E1,2.0,alpha-beta,4.0,37.0,0.0035175419761799276,,,,,,,,,,
E1,2.0,minimax,5.0,71.0,0.0014803330122958869,,,,,,,,,,
E1,2.0,alpha-beta,5.0,47.0,0.002086249995045364,,,,,,,,,,
E1,3.0,minimax,0.0,13192.0,0.31003970801248215,,,,,,,,,,
E1,3.0,alpha-beta,0.0,3684.0,0.2628283750091214,,,,,,,,,,
E1,3.0,minimax,1.0,2766.0,0.058972334023565054,,,,,,,,,,
E1,3.0,alpha-beta,1.0,313.0,0.025057040998945013,,,,,,,,,,
E1,3.0,minimax,2.0,59.0,0.001043541997205466,,,,,,,,,,
E1,3.0,alpha-beta,2.0,22.0,0.0012430420028977096,,,,,,,,,,
E1,3.0,minimax,3.0,4886.0,0.10522100000525825,,,,,,,,,,
E1,3.0,alpha-beta,3.0,1355.0,0.08125741599360481,,,,,,,,,,
E1,3.0,minimax,4.0,915.0,0.021329542010789737,,,,,,,,,,
E1,3.0,alpha-beta,4.0,129.0,0.00768724997760728,,,,,,,,,,
E1,3.0,minimax,5.0,101.0,0.0017375830211676657,,,,,,,,,,
E1,3.0,alpha-beta,5.0,99.0,0.0029489159933291376,,,,,,,,,,
E1,4.0,minimax,0.0,58912.0,1.3369541249994654,,,,,,,,,,
E1,4.0,alpha-beta,0.0,3684.0,0.28783700001076795,,,,,,,,,,
E1,4.0,minimax,1.0,4134.0,0.08659841699409299,,,,,,,,,,
E1,4.0,alpha-beta,1.0,441.0,0.029433624993544072,,,,,,,,,,
E1,4.0,minimax,2.0,59.0,0.0010401250037830323,,,,,,,,,,
E1,4.0,alpha-beta,2.0,22.0,0.0013448339886963367,,,,,,,,,,
E1,4.0,minimax,3.0,17846.0,0.3649336250091437,,,,,,,,,,
E1,4.0,alpha-beta,3.0,2715.0,0.1350974579981994,,,,,,,,,,
E1,4.0,minimax,4.0,1659.0,0.030953167006373405,,,,,,,,,,
E1,4.0,alpha-beta,4.0,451.0,0.016935624997131526,,,,,,,,,,
E1,4.0,minimax,5.0,101.0,0.0017846669943537563,,,,,,,,,,
E1,4.0,alpha-beta,5.0,99.0,0.0030341249948833138,,,,,,,,,,
E2,,,,,,Minimax vs Random,Minimax,Random,1000.0,1.0,1.0,1.0,5.0,0.02260261679184623,196.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1001.0,2.0,2.0,1.0,6.0,0.0025754028368586055,73.0
E2,,,,,,Minimax vs Random,Minimax,Random,1002.0,1.0,1.0,1.0,7.0,0.01506355358287692,200.5
E2,,,,,,Minimax vs Random,Minimax,Random,1003.0,2.0,2.0,1.0,6.0,0.012829513822604591,174.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1004.0,1.0,1.0,1.0,5.0,0.019346925202989952,162.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1005.0,2.0,2.0,1.0,6.0,0.010989583500001269,104.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1006.0,1.0,1.0,1.0,5.0,0.016186158201890066,190.0
E2,,,,,,Minimax vs Random,Minimax,Random,1007.0,2.0,2.0,1.0,6.0,0.0025193749946386865,86.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1008.0,1.0,1.0,1.0,7.0,0.009435809566639364,75.25
E2,,,,,,Minimax vs Random,Minimax,Random,1009.0,2.0,2.0,1.0,6.0,0.00787810399197042,108.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1010.0,1.0,1.0,1.0,5.0,0.020741133188130333,215.0
E2,,,,,,Minimax vs Random,Minimax,Random,1011.0,2.0,2.0,1.0,6.0,0.006317868338859019,94.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1012.0,1.0,1.0,1.0,7.0,0.02191378000342021,186.25
E2,,,,,,Minimax vs Random,Minimax,Random,1013.0,2.0,2.0,1.0,6.0,0.00461634733073879,66.0
E2,,,,,,Minimax vs Random,Minimax,Random,1014.0,1.0,1.0,1.0,7.0,0.0068299702751184145,101.75
E2,,,,,,Minimax vs Random,Minimax,Random,1015.0,2.0,2.0,1.0,6.0,0.008393097334192134,108.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1016.0,1.0,1.0,1.0,5.0,0.030415349995018916,249.0
E2,,,,,,Minimax vs Random,Minimax,Random,1017.0,2.0,2.0,1.0,6.0,0.006012548498498897,97.0
E2,,,,,,Minimax vs Random,Minimax,Random,1018.0,1.0,1.0,1.0,7.0,0.00798445857695437,83.0
E2,,,,,,Minimax vs Random,Minimax,Random,1019.0,2.0,2.0,1.0,6.0,0.003911840166741361,74.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1020.0,1.0,1.0,1.0,7.0,0.024667131003557836,177.75
E2,,,,,,Minimax vs Random,Minimax,Random,1021.0,2.0,2.0,1.0,6.0,0.006003437340647603,173.0
E2,,,,,,Minimax vs Random,Minimax,Random,1022.0,1.0,1.0,1.0,5.0,0.019660541793564336,209.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1023.0,2.0,2.0,1.0,6.0,0.004826541834821303,87.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1024.0,1.0,1.0,1.0,7.0,0.009217613289365545,84.75
E2,,,,,,Minimax vs Random,Minimax,Random,1025.0,2.0,2.0,1.0,6.0,0.012900013830706788,143.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1026.0,1.0,1.0,1.0,5.0,0.022511366591788828,163.0
E2,,,,,,Minimax vs Random,Minimax,Random,1027.0,2.0,2.0,1.0,6.0,0.007968888841181373,102.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1028.0,1.0,1.0,1.0,5.0,0.032525449595414105,194.0
E2,,,,,,Minimax vs Random,Minimax,Random,1029.0,2.0,2.0,1.0,6.0,0.010475409673138833,110.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1030.0,1.0,1.0,1.0,5.0,0.019280233606696128,165.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1031.0,2.0,2.0,1.0,6.0,0.0031077149954702086,45.333333333333336
E2,,,,,,Minimax vs Random,Minimax,Random,1032.0,1.0,1.0,1.0,7.0,0.02513091657809647,180.25
E2,,,,,,Minimax vs Random,Minimax,Random,1033.0,2.0,2.0,1.0,6.0,0.00675157650160448,68.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1034.0,1.0,1.0,1.0,5.0,0.011210324795683846,122.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1035.0,2.0,2.0,1.0,6.0,0.0063925696692119045,107.0
E2,,,,,,Minimax vs Random,Minimax,Random,1036.0,1.0,1.0,1.0,7.0,0.00594341686311444,76.0
E2,,,,,,Minimax vs Random,Minimax,Random,1037.0,2.0,2.0,1.0,6.0,0.006173139001475647,71.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1038.0,1.0,1.0,1.0,5.0,0.018497483601095155,180.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1039.0,2.0,2.0,1.0,6.0,0.01191907650597083,91.0
